SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,2504 Western Ave #221,Seattle,WA,98121,289000,0,1.0,Belltown,525,,1998,84,550,408,Active,,,https://www.redfin.com/WA/Seattle/2504-Western-Ave-98121/unit-221/home/104019267,NWMLS as Distributed by MLS Grid,2282192,N,Y,47.6142816,-122.3497861
MLS Listing,,Condo/Co-op,108 5th Ave S #512,Seattle,WA,98104,328500,0,1.0,International District,512,,2001,87,642,440,Active,,,https://www.redfin.com/WA/Seattle/108-5th-Ave-S-98104/unit-512/home/12090927,NWMLS as Distributed by MLS Grid,2275617,N,Y,47.6013297,-122.3272284
MLS Listing,,Condo/Co-op,1808 Minor Ave #2104,Seattle,WA,98101,378000,0,1.0,Denny Triangle,378,2152,2020,9,1000,420,Active,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-2104/home/172710470,NWMLS as Distributed by MLS Grid,2310387,N,Y,47.61699,-122.3305817
MLS Listing,,Condo/Co-op,321 Boylston Ave E #107,Seattle,WA,98102,232500,0,1.0,Capitol Hill,223,,1925,14,1043,199,Active,November-24-2024 12:00 PM,November-24-2024 02:00 PM,https://www.redfin.com/WA/Seattle/321-Boylston-Ave-E-98102/unit-107/home/49753,NWMLS as Distributed by MLS Grid,2309142,N,Y,47.6217904,-122.3233454
MLS Listing,,Condo/Co-op,1808 Minor Ave #1409,Seattle,WA,98101,420000,0,1.0,Denny Triangle,420,,2020,28,1000,466,Active,,,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-1409/home/171200425,NWMLS as Distributed by MLS Grid,2305320,N,Y,47.61699,-122.3305817
MLS Listing,,Condo/Co-op,800 Columbia St #710,Seattle,WA,98104,350000,0,1.0,Downtown,409,,2023,29,856,429,Active,,,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-710/home/178794960,NWMLS as Distributed by MLS Grid,2305247,N,Y,47.6067442,-122.3271536
MLS Listing,,Condo/Co-op,9030 Seward Park Ave S #500,Seattle,WA,98118,199000,0,1.0,Rainier Beach,465,,1971,30,428,245,Active,,,https://www.redfin.com/WA/Seattle/9030-Seward-Park-Ave-S-98118/unit-500/home/190499915,NWMLS as Distributed by MLS Grid,2301181,N,Y,47.5221212,-122.2637096
MLS Listing,,Condo/Co-op,2600 2nd Ave #309,Seattle,WA,98121,360000,0,1.0,Belltown,474,25918,1999,32,759,512,Active,,,https://www.redfin.com/WA/Seattle/2600-2nd-Ave-98121/unit-309/home/70045,NWMLS as Distributed by MLS Grid,2303251,N,Y,47.6166367,-122.3491593
MLS Listing,,Condo/Co-op,2840 SW Raymond St #303,Seattle,WA,98126,299000,0,1.0,High Point,404,,2007,36,740,386,Active,,,https://www.redfin.com/WA/Seattle/2840-SW-Raymond-St-98126/unit-303/home/12305820,NWMLS as Distributed by MLS Grid,2300262,N,Y,47.5483632,-122.3693837
MLS Listing,,Condo/Co-op,1300 University St Unit F2,Seattle,WA,98101,295000,0,1.0,Seattle,381,,1980,40,774,309,Active,November-24-2024 11:00 AM,November-24-2024 01:00 PM,https://www.redfin.com/WA/Seattle/1300-University-St-98101/unit-2F/home/191524573,NWMLS as Distributed by MLS Grid,2301496,N,Y,47.6127116,-122.3247742
MLS Listing,,Condo/Co-op,4020 Aurora Ave N #108,Seattle,WA,98103,299950,0,1.0,Wallingford,492,,2002,42,610,384,Active,,,https://www.redfin.com/WA/Seattle/4020-Aurora-Ave-N-98103/unit-108/home/40922,NWMLS as Distributed by MLS Grid,2299495,N,Y,47.6561593,-122.3467937
