SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,1300 University St Unit 7C,Seattle,WA,98101,385000,1,1.0,First Hill,627,,1980,1,614,513,Active,November-24-2024 11:00 AM,November-24-2024 01:00 PM,https://www.redfin.com/WA/Seattle/1300-University-St-98101/unit-7C/home/191510512,NWMLS as Distributed by MLS Grid,2306392,N,Y,47.6127116,-122.3247742
MLS Listing,,Condo/Co-op,1310 N Lucas Pl #303,Seattle,WA,98103,339000,1,1.0,Wallingford,490,,2004,7,692,462,Active,,,https://www.redfin.com/WA/Seattle/1310-N-Lucas-Pl-98103/unit-303/home/2061144,NWMLS as Distributed by MLS Grid,2311087,N,Y,47.656084,-122.342106
MLS Listing,,Condo/Co-op,66 Bell St #210,Seattle,WA,98121,748000,1,1.0,Belltown,742,,1908,7,1008,725,Active,,,https://www.redfin.com/WA/Seattle/66-Bell-St-98121/unit-210/home/67231,NWMLS as Distributed by MLS Grid,2310766,N,Y,47.6126356,-122.3477932
MLS Listing,,Condo/Co-op,9200 Greenwood Ave N #106,Seattle,WA,98103,325000,1,1.0,Greenwood,624,,1989,28,521,501,Active,,,https://www.redfin.com/WA/Seattle/9200-Greenwood-Ave-N-98103/unit-106/home/2118063,NWMLS as Distributed by MLS Grid,2305554,N,Y,47.6962924,-122.3550783
MLS Listing,,Condo/Co-op,9011 8th Ave SW,Seattle,WA,98106,350000,1,1.0,Highland Park,760,,1960,35,461,333,Active,,,https://www.redfin.com/WA/Seattle/9011-8th-Ave-SW-98106/home/2119191,NWMLS as Distributed by MLS Grid,2303160,N,Y,47.5223552,-122.3457363
MLS Listing,,Condo/Co-op,107 20th Ave #206,Seattle,WA,98122,400000,1,1.0,Seattle,642,,2003,45,623,331,Active,,,https://www.redfin.com/WA/Seattle/107-20th-Ave-98122/unit-206/home/63837,NWMLS as Distributed by MLS Grid,2297605,N,Y,47.601841,-122.3068434
MLS Listing,,Condo/Co-op,2415 2nd Ave #531,Seattle,WA,98121,479900,1,1.0,Belltown,636,,1994,45,755,677,Active,,,https://www.redfin.com/WA/Seattle/2415-2nd-Ave-98121/unit-531/home/72966,NWMLS as Distributed by MLS Grid,2299253,N,Y,47.6149368,-122.347611
MLS Listing,,Condo/Co-op,412 11th Ave #5,Seattle,WA,98122,375000,1,1.0,First Hill,717,,2002,57,523,532,Active,,,https://www.redfin.com/WA/Seattle/412-11th-Ave-98122/unit-5/home/12091571,NWMLS as Distributed by MLS Grid,2294742,N,Y,47.6058433,-122.3177256
MLS Listing,,Condo/Co-op,1504 Aurora Ave N #502,Seattle,WA,98109,426500,1,1.0,Westlake,622,,1991,57,686,601,Active,,,https://www.redfin.com/WA/Seattle/1504-Aurora-Ave-N-98109/unit-502/home/190499187,NWMLS as Distributed by MLS Grid,2295749,N,Y,47.6328135,-122.3430818
